,User,Date Created,Number of Likes,Source of Tweet,Tweet
75,videogamedeals,2023-01-31 23:30:15+00:00,14,Hootsuite Inc.,Taito Milestones (S) $14.49 via Amazon (Prime Eligible). https://t.co/8974wxm0Zb https://t.co/o7FZufAjxS
76,TshirtPainter,2023-01-31 23:30:00+00:00,0,TweetDeck,#HalfMoonBay #California  Surfing T-Shirt #AmazonPrime #Amazon shirts hoodies tanks  Click on brand name TheTshirtPainter for all shirt designs  https://t.co/75x0ntgDji   https://t.co/dDXbEtxCMf
77,warafujino11,2023-01-31 23:29:54+00:00,0,ranking Man,"♻人気のAmazonPrimeビデオです♻

⏩ぴかるん、小学校するん♪
https://t.co/vqomys2wD6
#ad"
78,kakicchysmusic6,2023-01-31 23:29:40+00:00,0,twittbot.net,https://t.co/MaMFRaEuwW: The Theme of Election Jockey[2015 Autumn]: kakicchysmusic: https://t.co/4mJ7cD6xvA #Amazon #Prime
79,octal,2023-01-31 23:28:38+00:00,24,Twitter Web App,"What happened to Netflix? They went from being amazing to basically not even worth a subscription these days. HBO crushes them for original content; Amazon Prime etc. are ""free""."
80,DoMidlife,2023-01-31 23:27:24+00:00,0,Twitter for Android,"💥Enriched Unbleached All Purpose Flour 17 Pound 

⚡️Amazon Prime Deal⚡️

✅ was: $77.99
💕 NOW! $62.20
🤑 You Save: 20% OFF
🔗 https://t.co/BiHSL0JbBi 

#Ad #Amazonprime #Amazon #foodbank #flourcrisis #flour #Deals #FoodSystems #foodlover #coupon #forsale #foodsecurity #Stock"
81,CryptoBidouille,2023-01-31 23:27:18+00:00,0,Twitter for Android,"@Beatrice_Rosen L'hypnose par le divertissement et le consumérisme aboutissent à la paralysie de l'âme. Le peuple de c*****es molles retournerait les tables seulement et uniquement si on lui octroyait Netflix, Amazon Prime, Canal+,TikTok,Meta. La TV 4K nous expliquera les 3€ le litre d'essence."
82,leelouuush,2023-01-31 23:26:30+00:00,0,Twitter for iPhone,@imaanee__948 amazon prime mtn vasy eu aussi
83,CuponeandoPRnet,2023-01-31 23:26:24+00:00,0,Make (formerly Integromat),Tapices a solo $8 con el código 60C3QUSW en Amazon Prime:👉🏼   https://t.co/F50TRq3DED (Reg.$20) ¡Tiene 60% ahorro! VARIOS ESTILOS 👀 Oferta por tiempo limitado. #AmazonInfluencer (Exp.020723) https://t.co/9zhaqa9IQM
84,CestMoiRonja,2023-01-31 23:25:38+00:00,4,Twitter for Android,"Oliver Masucci ist ja ein heftiger Schauspieler, aber ""Gefesselt"" auf Amazon Prime bringt mich an die Grenzen des Aushaltbaren. Besonders, weil es auf einem wahren Fall beruht."
85,Rehmaanism,2023-01-31 23:24:32+00:00,4,Twitter for iPhone,"Bhansali mat ban, gandu!

‘Cinema marte dum tak’ on Amazon prime is so good, haven’t had this much fun watching a docu-series. Kudos! to the makers."
86,Choknorris8031,2023-01-31 23:24:17+00:00,0,Twitter for iPhone,"@NanzenReloaded Uuuuuuff ya solo te faltan las suscripciones a…
- Disney+
- Paramount+
- Amazon Prime
- HBO
- Claro Video
- Star+
- Fox Sports Premium

🤣🤣🤣🤣"
87,GracelessKamkek,2023-01-31 23:22:43+00:00,0,Twitter for iPhone,@LoganPaul @ufc Amazon Prime is better.
88,itsjustnaks,2023-01-31 23:22:31+00:00,0,Twitter for iPhone,Amazon prime just don’t prime nomo huh??? 😒
89,HB_TsubuKan,2023-01-31 23:22:24+00:00,25,Twitter for Android,"＼今週の予定📢
#チング をご一緒しませんか？／ 

基本的に毎週金＆土開催予定🚢
今週は8話＆9話です‼️

💙2/3(金)22:30 
#チング_つぶやき観賞会_8話

💚2/4(土)22:00
#チング_つぶやき観賞会_9話

1話1時間前後ですので、お気軽にお立ち寄りくださいね🥰

#AmazonPrime #ヒョンビン #현빈 https://t.co/KxRL2PIB3Z"
90,Soonfald,2023-01-31 23:22:12+00:00,3,Twitter for Android,"Amazon Prime's *2-DAY* Shipping:
Order is not even processed for 2 days, then will take 3 more days to arrive.

I'm canceling my Prime subscription. This shit happens every single fucking time. https://t.co/qMmSZhLTCg"
91,CuponeandoPRnet,2023-01-31 23:21:53+00:00,0,Make (formerly Integromat),Set de Funda de Edredón desde solo $15 con el código 50ZWARM011 en Amazon Prime:👉🏼   https://t.co/ihRVCPYoMw (Reg.$34- $40) ¡Tiene 56% ahorro! VARIOS ESTILOS 👀 Oferta por tiempo limitado. #AmazonInfluencer (Exp.020523) https://t.co/OadcJlEDgm
92,DtgLucas2,2023-01-31 23:21:52+00:00,1,Twitter for iPhone,La série the last of us sur Amazon prime on peu la regarder comme ça ou faut regarder un truc avant ?
93,promobyte_,2023-01-31 23:21:39+00:00,0,Twitter Web App,"[Amazon] Garrafa de água de aço inoxidável Silver Buffalo Lilo e Stitch da Disney, azul

🚀 Compre aqui👇
🛒 https://t.co/Q9jwDWu1uA

🔥 R$115,30 Em até 2x

📦 Frete Grátis Prime https://t.co/yTgwZSt048"
94,AnotherBlob,2023-01-31 23:21:27+00:00,0,Twitter for iPhone,"I've watched Clannad because Amazon threatened me to watch it within 26 hours by joining Prime for 30 free days.
It was pretty good."
95,gb_a72,2023-01-31 23:20:55+00:00,0,Botbird tweets,"エクセル✨
パウダー&amp;ペンシル
（アイブロウEX）
カラーオンアイブロウ付き♬

✅カラバリ10種類
✅ハニーブラウン🍯
✅ピンクブラウン🍑
✅Amazon prime対応♬
✅ お得なセット💕

https://t.co/wn1YsxP9iR"
96,ss222pp,2023-01-31 23:20:42+00:00,0,Botbird tweets,"AmazonのPrime会員向けに

嵐のRecord Memoriesが
独占配信開始！

⇒https://t.co/HfTbmlpd8k

嵐が5人だから見られた景色
観客が5人と一緒に見た景色を記録した
嵐に初のライブ・フィルム

プライム会員30日間無料
⇒https://t.co/YQBVlngFVc

#ARASHI #嵐5x20FILM #嵐 
2/1/8:20"
97,boqli1,2023-01-31 23:20:00+00:00,0,sociaI,"Your Amazon packages 🎁shipped faster for free 
One month #free #Amazon Prime trial
students get 6 month 👀 free
click to signup

https://t.co/F1UgctObvD https://t.co/0dqN6yHlx5"
98,hanchou0120,2023-01-31 23:19:13+00:00,0,hanchanss,"➡おすすめのAmazonprimeのアニメです

✔王女と令嬢の魔法革命
https://t.co/RAy3CTSIla
#ad"
99,Ousmane49145212,2023-01-31 23:18:55+00:00,0,Twitter for iPhone,@mme_shelby Amazon prime
100,LaraLeytes,2023-01-31 23:18:45+00:00,10,Twitter for iPhone,Háganse un favor contraten amazon prime y vean the boys
101,CuponeandoPRnet,2023-01-31 23:17:13+00:00,0,Make (formerly Integromat),"Manta Glow-in-the-Dark a solo $16 ""clipeando"" el cupón y usando el código 4L6DMV29 en Amazon Prime:👉🏼   https://t.co/xDLNTmHmE4 (Reg.$33) ¡Tiene 52% ahorro! 👀 Oferta por tiempo limitado. #AmazonInfluencer (Exp.022823) https://t.co/uejdMKZnMn"
102,kei710kenta930,2023-01-31 23:17:00+00:00,16,Twitter for Android,"ZIPを見てた息子が、キッチンにいた私に「あっ！田中圭のAmazon primeのドラマのCM！」って教えてくれたお陰で、ようやく  #A2Z のCMをリアルタイムで見れた😊💕
 #田中圭"
103,JennSara99,2023-01-31 23:16:52+00:00,0,Twitter for iPhone,Anyone else ordered Jinger Vuolo’s book from Amazon prime but aren’t receiving it until the end of February? Like I get it was just released today but that’s so weird
104,ArchangelNervda,2023-01-31 23:16:27+00:00,0,Twitter for Android,"Si después de lo de hoy en el mercado de fichajes, no viene un famoso de Hollywood o netflix o amazon prime a comprar nuestra historia poco me pareceria"
105,joecarlsonshow,2023-01-31 23:15:36+00:00,123,Twitter Web App,"Three main things I care about with Amazon:

1) Long-term value proposition and pricing power of Amazon Prime membership. 

2) Ad-revenue growth rate compared to Goog/Meta.

3) AWS revenue &amp; commitments."
